Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
DDS,"Dillard's, Inc.",Consumer Discretionary,14,11.12,12.63,14.87,15.34
DGX,Quest Diagnostics Incorporated,Health Care,14,6.1,6.95,6.91,8.67
DFS,Discover Financial Services,Financials,14,3.71,14.21,10.76,11.78
ELV,"Elevance Health, Inc.",Health Care,14,10.14,12.99,15.3,14.06
AVNT,Avient Corporation,Materials,14,4.25,6.02,5.78,11.86
CHDN,Churchill Downs Incorporated,Consumer Discretionary,14,7.07,7.04,7.09,9.4
TSN,"Tyson Foods, Inc.",Consumer Staples,14,2.08,3.15,4.99,19.75
TXNM,"PNM Resources, Inc.",Utilities,14,5.45,5.77,5.97,7.68
AMGN,Amgen Inc.,Health Care,14,5.64,8.54,9.19,13.95
ALL,The Allstate Corporation,Financials,14,3.38,4.34,12.98,12.64
AON,Aon Plc,Financials,14,9.78,9.88,8.95,11.06
MRK,"Merck & Co., Inc.",Health Care,14,5.41,5.73,6.67,5.84
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,14,4.64,5.03,5.35,6.07
AUB,Atlantic Union Bankshares Corporation,Financials,14,6.56,6.05,6.26,8.41
XRAY,DENTSPLY SIRONA Inc.,Health Care,14,14.29,14.18,11.29,9.21
ALE,"ALLETE, Inc.",Utilities,14,4.06,3.83,3.72,3.71
AMT,American Tower Corporation (REIT),Real Estate,14,0.47,7.55,11.39,16.56
LYB,LyondellBasell Industries N.V.,Materials,13,6.69,5.88,4.9,6.92
ABBV,AbbVie Inc.,Health Care,13,4.73,6.04,7.7,14.09
ASB,Associated Banc-Corp,Financials,13,4.71,5.41,5.23,9.18
SSB,South State Corporation,Financials,13,3.93,3.36,4.89,9.97
XYL,Xylem Inc.,Industrials,13,9.1,8.74,8.45,10.9
APH,Amphenol Corporation,Information Technology,13,29.42,20.1,18.05,17.2
MET,"MetLife, Inc.",Financials,13,4.62,4.29,4.38,4.99
FCBC,"First Community Bankshares, Inc.",Financials,13,3.45,4.89,4.57,9.15
HUM,Humana Inc.,Health Care,13,0.0,8.14,9.99,12.3
RJF,"Raymond James Financial, Inc.",Financials,13,-21.06,9.09,3.2,11.87
FNF,"Fidelity National Financial, Inc.",Financials,13,6.02,7.54,9.02,10.27
FRME,First Merchants Corporation,Financials,13,29.86,15.48,11.72,19.63
A,"Agilent Technologies, Inc.",Health Care,13,4.95,7.21,7.31,12.94
IDA,"IDACORP, Inc.",Utilities,13,4.69,5.17,5.53,6.65
HWBK,"Hawthorn Bancshares, Inc.",Financials,13,10.95,12.03,13.9,18.3
HFWA,Heritage Financial Corporation,Financials,13,4.55,4.34,4.46,10.47
AGO,Assured Guaranty Ltd.,Financials,13,10.72,12.12,11.49,10.92
AES,The AES Corporation,Utilities,13,3.98,4.66,4.8,13.19
AGM,Federal Agricultural Mortgage Corporation,Financials,13,27.28,16.74,14.87,25.9
GFF,Griffon Corporation,Industrials,13,26.0,24.06,16.59,17.1
PEG,Public Service Enterprise Group Incorporated,Utilities,13,5.27,5.57,5.01,4.96
TOWN,TowneBank,Financials,13,2.05,8.64,7.4,8.81
CIVB,"Civista Bancshares, Inc.",Financials,13,4.92,7.17,8.79,12.92
SFNC,Simmons First National Corporation,Financials,13,5.01,5.28,5.59,6.68
